valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
753000;Em Construção  Entrega em Setembro de 2022.  O empreendimento NEXT ASTORGA CONDOMÍNIO CLUBE está sendo construído em um terreno de 2.592 m², torre única, 08 apartamentos por andar,...;Vila Guilhermina; São Paulo;3;1;2;84;150;550;Super destaque;0;0;0;0;0;0
2590000;Uma JOIA te esperando ! PORTEIRA FECHADA !  O mar, o Jardim e você. Nada melhor do que saber que um maravilhoso jardim da orla é o elo entre você e o mar, em um dos melhores empree...;Boqueirão; Santos;3;3;4;167;520;1200;Super destaque;0;0;0;0;0;0
579000;Venha morar 08 minutos a pé do metrô Santos Imigrantes e 09 minutos a pé do metro Alto do Ipiranga em um dos mais lindo apartamento de 54,00 m² com 02 dormitórios, 01vaga, 01 suíte...;Ipiranga; São Paulo;2;1;1;54;0;540;Super destaque;1;0;0;1;0;0
350000;* OPORTUNIDADE UNICA NA VILA LAURA   * 3 QUARTOS COM SUITE   * VARANDA   * PISCINA , CHURRASQUEIRA   * GARAGEM COBERTA   * NASCENTE   * ELEVADOR   * LOCALIZAÇÃO PRINCIPAL DA VILA L...;Vila Laura; Salvador;3;1;2;80;450;600;Destaque;1;0;1;0;0;0
869000;O apartamento está localizado no bairro Jardim das Indústrias tem 122 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros Possui academia, espaço gourmet, jardim, playground...;Rua Corifeu de Azevedo Marques; Jardim das Indústrias;3;2;3;122;0;0;Nenhuma;1;1;0;1;0;0
950000;ACEITO OFERTA. Vamos negociar !!! Excelente Cobertura Duplex em condomínio fechado na Granja Viana, Cotia. Localizado apenas 1,5 km da rodovia Raposo Tavares e do rodoanel Mário Co...;Estrada Municipal Walter Steurer; Chácara Pavoeiro;4;3;4;182;142;1200;Destaque;0;0;0;0;0;0
350000;Apartamento   Parque Industrial   Residencial Maison Toulouse   64m²    2 Dormitórios sendo uma suíte   Sala   2 Banheiros   Cozinha   Área de serviços   1 Vaga de garagem  Diferen...;Rua Teresina; Parque Industrial;2;1;2;64;180;350;Nenhuma;1;0;0;0;0;0
285000;O apartamento no bairro Taboão possui 45 metros quadrados com 2 quartos e 1 banheiro Possui playground, área de fitness, salão de festas, espaço gourmet. Vai lhe possibilitar todo...;Taboão; São Bernardo do Campo;2;1;1;45;85;350;Nenhuma;0;0;0;1;1;0
550000;VENDA TEMPORARIAMENTE SUSPENSA. Venderia o apartamento somente porque estava indo morar no exterior mas este projeto está suspenso no momento. Sendo assim, a venda também.   PORTEI...;Ponta da Praia; Santos;2;1;2;70;135;600;Destaque;0;0;0;0;0;0
2800000;Copacabana  Excelente apto de 4 quartos ( 2 suítes),na Rua Aires Saldanha nº 66, por R$ 2.800.000,00(direto com o proprietário),com 287 metros quadrados, segunda quadra da praia du...;Rua Aires Saldanha; Copacabana;4;2;4;287;10000;1925;Destaque;1;0;0;1;0;0
349000;Venha se surpreender com este empreendimento completo no Bom Pastor!!  Apartamento com 2 quartos, sendo 1 suíte, varanda gourmet, opção de 1 ou 2 vagas de garagem, e lazer completo...;Rua Doutor Osmar Silva; Bom Pastor;2;1;2;60;1000;250;Nenhuma;1;0;1;0;0;0
430000;Lindo Apartamento para Venda, com 73 metros, bem localizado, com 3 dormitórios sendo 1 suíte, 2 salas, 2 banheiros, 2 vagas de garagem. Apartamento decorado, com armários planejado...;Rua Júlio Spiandorelli; Santa Marina;3;2;2;73;51;344;Nenhuma;1;0;0;1;0;1
253275;"Apartamento  Sacada  2 Dormitórios  Sendo 1 suíte  Wc social  2 Elevadores  Piso: Contra piso  1 Vaga de garagem coberta    Aceita financiamento e FGTS;    O imóvel que você procur...";Rua Guararapes; Monte Castelo;2;1;2;53;0;0;Nenhuma;1;0;1;0;0;0
252990;Sobre o bairro:    O bairro dos Bancários, vem sendo, nos últimos anos, uma grande procura no mercado imobiliário. Ele se encontra na Zona sul da cidade de João Pessoa, com dezenas...;Rua Iolanda Eloy de Medeiros; Água Fria;2;1;2;58;0;0;Nenhuma;0;0;0;0;0;0
