valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;acabamento
1595000;LEARDI   100 anos de tradição imobiliária tem o prazer de anunciar este sobrado, cozinha com armários planejados, lavabo, 3 dormitório sendo 1 suíte com banheira, 2 salas amplas, b...;Rua Afonso Celso; Vila Mariana;3;2;3;140;442;0;Super destaque;1;1
350000;02 CASAS   VILA CISPER  CASA 01: 01 dormitório, sala, cozinha, banheiro, área de serviço, 01 vaga de garagem + 01 quarto e banheiro nos fundos. CASA 02: 01 dormitório, sala, cozinh...;Rua Governador Archer; Vila Cisper;1;1;2;95;0;0;Super destaque;0;0
2200000;Um terreno com 980 m² com escrituras separadas e 2 construções, uma em cada lote com aproximadamente 270 m² de área total.  A casa maior tem 4 dormitórios, 3 salas, cozinha, 5 banh...;Lagoa da Conceição; Florianópolis;5;12;5;270;140;0;Super destaque;0;0
400000;Grande oportunidade  Entrada facilitada  Utilize seu FGTS  Imóvel acabamento fino, 3 dormitórios, 1 suíte, 2 banheiros, quintal com churrasqueira, bem arejado, 3 vagas de garagem,...;Rua das Boas Noites; Centro;3;3;2;140;0;0;Nenhuma;1;0
310000;Grande oportunidade Entrada facilitada Utilize seu FGTS Apartamento acabamento fino, 3 dormitórios, 1 suite, 2 banheiros, bem arejado, 2 vagas de garagem , próximo de mercados, far...;Rua Adamantina; Vila Dona Paulina;3;2;2;120;0;0;Nenhuma;1;0
190000;Casa Alto Paraíso Casa 2 quartos com suíte, 80 m de área construída sendo 180 de terreno. Ótimo acabamento. Garagem para 2 carros , quintal grande nós fundos . Área de serviço nos...;Rua Santa Izabel; Jardim Alto Paraiso;2;2;2;80;650;0;Destaque;1;0
400000;Grande oportunidade  Entrada facilitada  Utilize seu FGTS  Imóvel acabamento fino, 3 dormitórios, 1 suíte, 2 banheiros, quintal com churrasqueira, bem arejado, 2 vagas de garagem,...;Rua Francisco da Cunha; Centro;3;2;2;140;0;0;Nenhuma;1;0
450000;Grande oportunidade Entrada facilitada Utilize seu FGTS Apartamento acabamento fino, 3 dormitórios, 1 suite, 2 banheiros, bem arejado, 2 vagas de garagem , próximo de mercados, far...;Rua Américo Ventura; Alto da Mooca;3;2;2;120;0;0;Nenhuma;1;0
295000;A casa no bairro Residencial Parque dos Sinos tem 96 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet.Espaço reservado para preparar o seu churrasco...;Rua Claudio Egidio Sant'Ana; Residencial Parque Dos Sinos;2;2;2;96;0;0;Nenhuma;1;0
35000;A casa tem 130 metros quadrados com 1 quarto sendo 2 suites e 3 banheiros;; Eusébio;1;2;3;130;0;0;Nenhuma;1;0
499900;A casa está localizado no bairro Ipê possui 101 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros;Rua Getúlio Falabretti; Ipe;3;3;2;101;0;0;Destaque;1;0
200000;☑ APROVEITE AS CONDIÇÕES ESPECIAIS DE INÍCIO DE ANO!!! ☑  ➖ Informações 11. 9. 9316 . 3192  ✔ Entrada à partir de: R$ 20.000,00   ISSO MESMO VINTE MIL REAIS  ✔ PARCELAS À PARTIR DE...;Itaquera; São Paulo;2;2;1;90;0;0;Nenhuma;0;0
18000;A casa no bairro Canindezinho possui 120 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro;Avenida 1; Canindezinho;3;2;1;120;0;0;Nenhuma;1;0
330000;Grande oportunidade Entrada facilitada Utilize seu FGTS Apartamento acabamento fino, 2 dormitórios, 1 suite, 2 banheiros, bem arejado, 2 vagas de garagem , próximo de mercados, far...;Travessa Antônio Ângelo; Ipiranga;2;2;2;120;0;0;Nenhuma;1;0
350000;Utilize seu FGTS sem burocracia  Entrada Facilitada Não aceitamos Permuta  Financiamento Caixa (juros de 7,5 a 11% ao ano)   prazo 30 anos. Entrada: 20%  Carta de crédito (taxa de...;Travessa Benedito José de Almeida; Ermelino Matarazzo;2;2;2;125;0;0;Nenhuma;0;0
250000;A térrea está localizado no bairro Condomínio das Esmeraldas possui 103 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, espaço jardinado. Vai lhe...;Rua 1; Residencial Itaipu;3;2;2;103;650;0;Destaque;1;0
