valor;descricao;local;bairro/cidade;quarto-min;quarto-max;garagem-min;garagem-max;banheiro-min;banheiro-max;area(m2)-min;area(m2)-max;iptu;condominio;novidade;suite;acabamento
6850000;Casa única no Alto Jardim Botânico!  Uma casa exclusiva, cheia de charme no alto Jardim Botânico. Com 4 suítes, jardim, piscina, sauna, espaço gourmet e 02 dependências completas....;Rua Peri; Jardim Botânico;4;4;2;2;8;8;508;610;0;0;Nenhuma;1;0
1999000;O Condomínio Residencial Camboata está a poucos metros das Praias de Camboinhas e Piratininga e conta com casas de até 5 suites, lazer privativo e até 5 vagas. Lazer e comodidade p...;Rua Geógrafo Amora; Piratininga;3;5;3;4;4;6;400;700;0;0;Nenhuma;1;0
2990000;Mansões Rio Mar. Excelentes projetos de casas inteligentes e independentes com estilo contemporâneo de até 5 suítes. Casas com piscina, sauna, espaço gourmet, garagem para 3 carros...;Avenida das Américas; Barra da Tijuca;5;5;3;3;6;6;460;540;0;0;Nenhuma;1;0
1195000;BARRA 2 IMÓVEIS VENDE   CASA EM JACAREPAGUÁ   ANIL   Espetacular casa com 311 m² de área construída, distribuída em 02 pavimentos, sendo no primeiro pavimento : 01 suíte, lavabo, c...;Rua Rio dos Passarinhos; Anil;4;4;3;3;6;6;311;311;367;680;Nenhuma;1;0
330000;Maravilhosa casa Linear em condomínio fechado a 5 minutos do West Shopping.   Estilo contemporâneo, fachada com porcelanato que imita madeira, garagem com pergolado coberto e varan...;Rua Campina Grande; Campo Grande;3;3;2;2;1;1;100;100;0;300;Nenhuma;0;1
1540000;LOPES ENJOY VENDE Casa de vila 4 quartos, sendo 1 reversível para sala caso queira, 3 banheiros, toda reformada ,com piso em porcelanato, ar condicionado, split em todos os ambient...;Ipanema; Rio de Janeiro;4;4;0;0;3;3;154;154;6350;1800;Nenhuma;0;1
370000;A casa está localizado no bairro Marechal Hermes tem 130 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros. Trata se de 2 imóveis, frente de rua, esquina com a Rua Jabiri....;Rua Joaquim Mendes Malheiros; Marechal Hermes;3;3;2;2;2;2;130;130;0;0;Nenhuma;1;0
9500000;Mansão Espetacular de 750m² na Praia da Barra da Tijuca   RJ   Direto com o Proprietário!!   100% mobiliada e decorada   1° Piso:     Salas de Estar, Jantar, Leitura e Home Theater...;Rua Lourenço Filho; Barra da Tijuca;4;4;4;4;10;10;750;750;24240;1900;Nenhuma;0;0
390000;Casa dúplex, 3 quartos, sendo um suíte com closet, quintal amplo com bancada para área gourmet, portas em blindex duas folhas, toda em porcelanato.  Primeiro pavimento, sala ampla...;Rua Luiz Brunini;Pedra de Guaratiba;3;3;3;3;3;3;120;120;0;0;Nenhuma;1;1
155000;Olá !!! Você que quer morar em um lugar lindo , super tranquilo , a 100 metros da praia , com um calçadão recheado de comercio , quiosques , excelente para aquela caminhada , em ru...;Rua Elisa; Sepetiba;2;2;5;5;1;1;300;300;0;0;Nenhuma;0;0
380000;A casa na Praia da Brisa possui 223 metros quadrados com 2 quartos e 1 banheiro, terraço, varanda ao redor da casa, sala, cozinha ampla com pia grande em granito, Churrasqueira, ar...;Rua Chá do Pilar; Guaratiba;2;2;2;2;1;1;223;223;0;0;Nenhuma;0;0
340000;A casa no bairro Campo Grande possui 110 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet. Vai lhe possibilitar curtir os dias mais quentes na pisci...;Campo Grande; Rio de Janeiro;2;2;1;1;2;2;110;110;0;0;Nenhuma;1;0
480000;O sobrado no bairro Praia ds Brisa em Guaratiba possui 198 m² com 5 quartos sendo 3 suites e 3 banheiros, cozinha com armários embutidos de madeira de lei, despensa, pia em granito...;Avenida Sylvio Moutinho; Guaratiba;5;5;2;2;3;3;198;198;0;0;Nenhuma;1;0
4800000;Casa em São Conrado, ÁREA SEGURA todos os aposentos com vista panorâmica para o mar.. Documentação ok, Sem dividas, 5 e 1/2 Pavimentos, área construída em torno de 750 m². Garagem...;Rua Frei Tomás; São Conrado;4;4;3;3;8;8;700;700;10760;0;Nenhuma;0;0
269000;Cód: PECA20146. Excelente casa duplex de 2 em Piedade ! Ótima localização próxima a Suburbana, comércio, condução. Composto de: salão, 2 quartos sendo 1 suíte, todos com varanda, c...;Rua Ana Quintão; Piedade;2;2;1;1;3;3;195;195;0;0;Nenhuma;1;0
