valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;tipo;suite;academia;varanda;transporte;salao;planejado;acabamento
950000;Apartamento amplo, 190m2, 3 ambientes principais inclusive com sala de jantar, varanda gourmet, lavabo, 4 dormitórios amplos sendo 2 suites , 4 banheiros, cozinha, área de serviço...;Rua Itamira; Vila Andrade;4;4;4;191;929;2941;Super destaque;2;1;0;1;0;0;0;0
4500000;Lindas casas para venda na mais charmosa Praia do Litoral Norte de SP, em um Condomínio fechado com casas de alto padrão, frente ao mar da Praia de Juquehy, cercado por um completo...;Avenida Mãe Bernarda; Praia de Juquehy;4;2;5;310;0;0;Super destaque;6;0;0;0;0;0;0;0
965000;CASA A VENDA NO CONDOMÍNIO CHÁCARA DAS PALMEIRAS IMPERIAIS   MEDEIROS   JUNDIAÍ/SP.  Sobrado na melhor localização do condomínio, com 03 dormitórios sendo 01 suíte repleto de armár...;Medeiros; Jundiaí;3;3;3;140;1152;535;Super destaque;6;1;0;0;0;0;0;0
350000;Apartamento   Parque Industrial   Residencial Maison Toulouse   64m²    2 Dormitórios sendo uma suíte   Sala   2 Banheiros   Cozinha   Área de serviços   1 Vaga de garagem  Diferen...;Rua Teresina; Parque Industrial;2;1;2;64;180;350;Nenhuma;2;1;0;0;0;0;0;0
240000;QUARTOS 2  sedo 1 suite GARAGEM 1 DESCRIÇÃO O Residencial Napoli, localiza se na Rua Desembargador Cid Campelo, constitui de 8 blocos, com 4 pavimentos superpostos cada, em alvenar...;Rua Desembargador Cid Campelo; Cidade Industrial;2;1;2;64;20;299;Nenhuma;9;1;0;0;0;0;0;0
276000;2 Dormitórios 2 banheiros sendo 1 suíte Garagem para 2 carros Churrasqueira Piso Laminado Cozinha Americana Área de Serviço Garagem Coberta Portão Automático  Casa semi nova em exc...;Rua Toshiyassu Watanabe; Jardim dos Bandeirantes;2;2;2;67;0;0;Nenhuma;6;1;0;0;0;0;0;0
215000;Realize seu sonho da casa própria!  Entrada a partir de R$ 43.000 Parcelas de acordo com sua renda  Casa com 3 quartos (1 suíte com closet), banheiro, sala, cozinha, área gourmet,...;Rua Araioses; SIM;3;2;1;114;0;0;Nenhuma;6;1;0;0;0;0;0;0
420000;A fazenda/sítio/chácara no bairro Cachoeira com 600 metros quadrados com 3 quartos sendo 2 suítes e 2 banheiros. Possui espaço gourmet, espaço jardinado, parquinho com diferentes b...;Estrada Municipal Luciano Rocha Peçanha; Cachoeira ;3;2;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
150000;ESTA LINDA CASA NA ESTA DISPONIVEL NO BAIRRO SANTA MÔNICA.  ESTE É O MOMENTO DE SAIR DO ALUGUEL COM OTIMAS CONDIÇÕES...  ENTRADA A PARTIR: R$ 19.098,03 + PARCELAS AJUSTAVEL A SUA R...;Centro; Feira de Santana;2;1;1;150;0;0;Nenhuma;6;0;0;0;0;0;0;0
750000;Village AlphavilleApartamento com ótima localizaçãoCom 97m², 2 dormitórios sendo 1 suíte, living para 3 ambientes e 2 vagasVenha conhecer;Alphaville; Barueri;2;2;2;97;35;560;Nenhuma;2;1;0;0;0;0;0;0
220000;A fazenda/sítio/chácara está localizado no bairro Verava com 600 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui área de fitness, espaço gourmet, espaço jardinad...;Verava; Ibiúna;3;3;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
515000;Terreno com estudo para 15 apartamentos. Terreno Plano, nível da rua, excelente para construção de apartamentos. Terreno com rua pavimentada em anti pó. Próximo ao empreendimento d...;Rua Dolovico Pissaia; Afonso Pena;1;0;1;675;0;0;Nenhuma;2;0;0;0;0;0;0;0
380000;A fazenda/sítio/chácara está localizado no bairro Centro possui 600 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, parquinho com diferentes brinq...;Praça Três Poderes; Cachoeira ;3;3;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
800500;Apartamento no Cabral com 86m² com 3 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, área de recreação infantil, salão de festas.Churrasqueira para você...;Rua Deputado Joaquim José Pedrosa; Cabral;3;2;2;86;0;0;Destaque;2;1;0;0;0;1;0;0
5000000;NBKT   NOBILITARE oferta para VENDA, Depósito/Pavilhão, no bairro Navegantes, em Porto Alegre, com 0 dormitório(s), 30 vaga(s) de garagem, com área privativa de 2203.33 m² e área t...;Navegantes; Porto Alegre;1;30;10;2203;0;0;Nenhuma;9;0;0;0;0;0;0;0
380000;.VENHAM CONHECER NOSSAS CHÁCARAS NA PLANTA.  SUA CHACARA PRONTA EM ATE 180 DIAS , CONDOMINIO SEM TAXAS COM OTIMA TOPOGRAFIAS , TERRENOS 100% PLANOS , BEM LOCALIZADAS E COM UM PREÇO...;Rua Major Juvenal Alvim; Mato Dentro;2;3;2;600;0;0;Nenhuma;8;0;0;0;0;0;0;0
420000;A fazenda/sítio/chácara está localizado no bairro Cachoeira possui 600 metros quadrados com 3 quartos sendo 1 suíte e 2 banheiros. Possui espaço gourmet, espaço jardinado, área de...;Estrada Municipal Luciano Rocha Peçanha; Cachoeira ;3;2;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
380000;A fazenda/sítio/chácara está localizado no bairro Centro possui 100 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, área verde de jardim, área de...;Rua Major Juvenal Alvim; Centro;2;2;2;100;0;0;Nenhuma;9;1;0;0;1;0;0;0
250000;casa impecável É visitar, comprar, mudar, morar e ser feliz!!!  Essa aconchegante casa, está aguardando sua visita. É uma casa funcional!!!  São 02 dormitórios sendo 01 suíte, sala...;Rua Joel de Oliveira Machado; Mombaça;2;2;1;114;0;0;Nenhuma;6;1;0;0;0;0;0;0
560000;Excelente casa duplex no Jardim Atlântico em Itaipuaçu  Casa duplex com excelente espaço para quem tem família grande composta por: 4 quartos, sendo 2 suítes e closet, sala ampla,...;Rua Trinta e Dois; Jardim Atlântico Oeste;4;3;3;130;0;0;Nenhuma;6;1;0;0;0;0;0;0
530000;Venha morar na melhor localização de Itaipuaçu próximo de todos os comércios da região e a poucas quadras da praia.  Excelente Casa de alto com 3 quartos, sendo um suíte, sala ampl...;Rua Cento e Cinquenta e Um; Jardim Atlantico Leste Itaipuacu;3;2;3;105;0;0;Nenhuma;6;1;0;0;0;0;0;0
200000;Terreno para venda em Ilha De Baixo de 300.00m²;; Salto de Pirapora;1;0;1;300;0;0;Nenhuma;8;0;0;0;0;0;0;0
43025;🎯Eu sou o CARLOS Tudo bem? Espero que sim! ✅ Estou com uma área nova em Ibiúna Com vista, e com lago no local para pesca.. Localizado a 9 min da Bunjiro nakao, 20 min do centro da...;Rodovia Bunjiro Nakao; Verava;5;4;3;1000;1;0;Nenhuma;9;0;0;0;0;0;0;0
320000;LOCALIZADÍSSIMO JUNTO SHOPPING IGUATEMI !!!! RUA TEODORO DA SILVA PERTO COMÉRCIO E FARTA CONDUÇÃO SHOPPING IGUATEMI. PRÉDIO ÓTIMA APRESENTAÇÃO COM PLAY SALÃO DE FESTAS CIRCUITO INT...;Rua Teodoro da Silva; Vila Isabel;2;1;2;66;822;843;Nenhuma;9;0;0;0;0;1;0;0
1490000;Casa em fase de acabamento, com 4 dormitórios, sendo 2 suites e 2 suites americana, com móveis na cozinha, churrasqueira  Projeto diferenciado com jardim na lateral. Vale uma visit...;; Xangri Lá;4;0;3;20;0;0;Super destaque;6;1;0;0;0;0;0;0
4200000;A fazenda/sítio/chácara no bairro Jardim Brasília tem 13420 metros quadrados com 3 quartos sendo 3 suites e 5 banheiros;Rua Francisco Raposo; Zona Rural;3;10;5;13420;98;0;Super destaque;9;1;0;0;1;0;0;0
574588;Sobrado de condomínio a venda, com 2 Dormitórios, Suites, 2 Vagas de Garagem, no bairro Tucuruv, Zona Norte de São Paulo.  Ideal para quem busca a privacidade de uma casa, mas não...;Rua Nápoles; Vila Gustavo;2;2;2;95;50;100;Super destaque;6;1;0;0;0;0;0;0
350000;Apartamento   Parque Industrial   Residencial Maison Toulouse   64m²    2 Dormitórios sendo uma suíte   Sala   2 Banheiros   Cozinha   Área de serviços   1 Vaga de garagem  Diferen...;Rua Teresina; Parque Industrial;2;1;2;64;180;350;Nenhuma;2;1;0;0;0;0;0;0
240000;QUARTOS 2  sedo 1 suite GARAGEM 1 DESCRIÇÃO O Residencial Napoli, localiza se na Rua Desembargador Cid Campelo, constitui de 8 blocos, com 4 pavimentos superpostos cada, em alvenar...;Rua Desembargador Cid Campelo; Cidade Industrial;2;1;2;64;20;299;Nenhuma;9;1;0;0;0;0;0;0
276000;2 Dormitórios 2 banheiros sendo 1 suíte Garagem para 2 carros Churrasqueira Piso Laminado Cozinha Americana Área de Serviço Garagem Coberta Portão Automático  Casa semi nova em exc...;Rua Toshiyassu Watanabe; Jardim dos Bandeirantes;2;2;2;67;0;0;Nenhuma;6;1;0;0;0;0;0;0
215000;Realize seu sonho da casa própria!  Entrada a partir de R$ 43.000 Parcelas de acordo com sua renda  Casa com 3 quartos (1 suíte com closet), banheiro, sala, cozinha, área gourmet,...;Rua Araioses; SIM;3;2;1;114;0;0;Nenhuma;6;1;0;0;0;0;0;0
290000;USE SEU FGTS, ENTRADA FACILITADA  Compre seu imóvel com a menor taxa do mercado 1.8% ao ano.  Abaixo algumas simulações de crédito:  CASAS DE R$ 250.000,00 Entrada: R$ 62.500,00  1...;Jardim Planalto; São Paulo;2;2;2;58;0;0;Nenhuma;6;0;0;0;0;0;0;0
241000;O apartamento está localizado no bairro Cabula com 69 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros Possui área verde de jardim, salão para festas e eventos. Maria das...;Conjunto Solar das Árvores; Cabula;2;1;2;69;289;190;Nenhuma;2;1;0;0;1;1;0;0
420000;A fazenda/sítio/chácara no bairro Cachoeira com 600 metros quadrados com 3 quartos sendo 2 suítes e 2 banheiros. Possui espaço gourmet, espaço jardinado, parquinho com diferentes b...;Estrada Municipal Luciano Rocha Peçanha; Cachoeira ;3;2;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
495000;Casa residencial para Venda Jardim Oásis, Taubaté 3 dormitórios sendo 1 suíte, 1 sala, 2 banheiros, 2 vagas sala de jantar com sanca, cozinha, espaço gourmet com churrasqueira, por...;Avenida Alberto Winther de Araújo; Jardim Oasis;3;2;2;110;0;0;Nenhuma;6;1;0;0;0;0;0;0
150000;ESTA LINDA CASA NA ESTA DISPONIVEL NO BAIRRO SANTA MÔNICA.  ESTE É O MOMENTO DE SAIR DO ALUGUEL COM OTIMAS CONDIÇÕES...  ENTRADA A PARTIR: R$ 19.098,03 + PARCELAS AJUSTAVEL A SUA R...;Centro; Feira de Santana;2;1;1;150;0;0;Nenhuma;6;0;0;0;0;0;0;0
750000;Village AlphavilleApartamento com ótima localizaçãoCom 97m², 2 dormitórios sendo 1 suíte, living para 3 ambientes e 2 vagasVenha conhecer;Alphaville; Barueri;2;2;2;97;35;560;Nenhuma;2;1;0;0;0;0;0;0
220000;A fazenda/sítio/chácara está localizado no bairro Verava com 600 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui área de fitness, espaço gourmet, espaço jardinad...;Verava; Ibiúna;3;3;2;600;0;0;Nenhuma;9;1;0;0;1;0;0;0
515000;Terreno com estudo para 15 apartamentos. Terreno Plano, nível da rua, excelente para construção de apartamentos. Terreno com rua pavimentada em anti pó. Próximo ao empreendimento d...;Rua Dolovico Pissaia; Afonso Pena;1;0;1;675;0;0;Nenhuma;2;0;0;0;0;0;0;0
800500;Apartamento no Cabral com 86m² com 3 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, área de recreação infantil, salão de festas.Churrasqueira para você...;Rua Deputado Joaquim José Pedrosa; Cabral;3;2;2;86;0;0;Destaque;2;1;0;0;0;1;0;0
5000000;NBKT   NOBILITARE oferta para VENDA, Depósito/Pavilhão, no bairro Navegantes, em Porto Alegre, com 0 dormitório(s), 30 vaga(s) de garagem, com área privativa de 2203.33 m² e área t...;Navegantes; Porto Alegre;1;30;10;2203;0;0;Nenhuma;9;0;0;0;0;0;0;0
290000;A fazenda/sítio/chácara está localizado no bairro Itapeti possui 100 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros Possui espaço gourmet, jardim, parquinho com difere...;Estrada do Itapeti; Itapeti;3;3;2;100;0;0;Nenhuma;9;1;0;0;1;0;0;0
